username,tweet,value
intanayuarimbi,Wajib pembelajaran tatap muka terbatas di sekolah paling lambat dilaksanakan semester genap tahun ajaran 2021/2022.  https://t.co/cvDHOyVnOY,positif
tribunnews,SKB 4 Menteri: PTM Terbatas Wajib Mulai Januari 2022 Ini Ketentuan dan Syarat Sekolah Tatap Muka    https://t.co/FOuSIgSz74,positif
indoseputarinfo,Nah langkah ini dilakukan sebagai perlindungan kepada anak-anak yang rentan tertular virus karena kegiatan belajar mengajar secara tatap muka di sekolah saat ini sudah mulai dilakukan.  Yuk bagi yang punya anak dan adik dikisaran usia 6-11 tahun jangan lupa di vaksin ya!,positif
terkinidotid,Sekolah Online Bikin Skill Bersosialisasi Anak Hilang Menko Airlangga: Ayo Vaksinasi untuk Sekolah Tatap Muka #terkiniid #terkinidotid #makassarterkiniid #makassarterkinidotid  https://t.co/sVR7MVFhUU,positif
wow_keren,Airlangga Sebut Vaksinasi Anak Usia 6-11 Tahun Langkah Bagus Jelang Pelaksanaan Sekolah Tatap Muka #Nasional  https://t.co/H5Z09kd210  https://t.co/cvl54kfSOZ,positif
kompascom,Harapannya vaksinasi anak itu bisa segera rampung sehingga semua siswa bisa sekolah tatap muka pada pembelajaran semester mendatang.  https://t.co/MEvcqdjjcW,positif
satumalukuid,12 Sekolah di Ambon Terapkan Pembelajaran Tatap Muka Terbatas Januari 2022  https://t.co/3m2dfWwHYM,positif
satumalukuid,12 Sekolah di Ambon Terapkan Pembelajaran Tatap Muka Terbatas Januari 2022  https://t.co/3m2dfWf77e,positif
haibundacom,Pemerintah telah mengeluarkan ketentuan sekolah tatap muka yang akan dilaksanakan pada Januari 2022 mendatang Bunda. Lihat ketentuan selengkapnya yuk!  https://t.co/pkOChATB1i,positif
crushmyself_,@AREAJULID takutnya double standar satu kerumunan bisa menyebabkan ke berbagai macam aspek kalo misal kasus meningkat gara2 kerumunan di perbolehkan kasihan anak sekolah &amp; mahasiswa batal lagi mereka belajar tatap muka,positif
tangerangnews,Menko Airlangga: Vaksinasi Anak Bagus untuk Memulai Sekolah Tatap Muka |   https://t.co/gstbBPoTng via @tangerangnews,positif
mridwan48452531,@AREAJULID Yaudah lah gk papa sekalian dapat varian omicron biar sekolah gk jadi tatap muka nanggung tinggal 1 semester juga wkwkk,negatif
sixteenisenough,@txtsambaters takut sekolah tatap muka :(,negatif
detikcom,SKB 4 menteri terbaru mewajibkan pelaksanaan sekolah tatap muka terbatas per 2022 sesuai capaian vaksinasi dan level PPKM. Via: detikedu  https://t.co/wTbRVyRkAw,positif
azmatthews,@OglyFederico @Ingridebap @ltgrusselhonore @CDCgov @WHCOS @CNN @MSNBC @LADeptHealth @POTUS Arizona used Covid money to award grants to charter schools who promised to not have masks required. Yes. Schools who banned mask mandates got extra money. Even after feds said it can't be used that way.  https://t.co/YTJUxgUhMJ,negatif
dhousey321,@monstaX It's already hurt the class of 2021 and will affect the next couple of classes! Until the athletes that got the extra year of eligibility because of covid graduate the high school recruits gonna suffer!! Better have a plan B and C!! 2022 times are ticking down quickly!!,positif
fran_b__,@oenanthe54 @Saffiya_Khan1 @maitlis This is an utterly ridiculous claim. That said the regime forcing sick children to go to schools where Covid is rife and where they contracted the disease certainly qualifies as ‘picking in children’. No child too unwell for school particularly an infected child should attend.,negatif
xnoraxmznx,Teenagers+ppl around 20 that are my age are getting covid the most rn but they don’t shut down schools where it then spreads the most easily and mutates even when you’re vaccinated but instead things like restaurants and hairdressers MAKE IT MAKE SENSE??  https://t.co/s73wR3gvGy,negatif
occovidkids,Huntington Beach City School District COVID Case Count as of: 15:55 on 11-29-2021  Total Active Cases: 1  Source:  https://t.co/MV8nskVI5i,negatif
dailymirror,As classroom #Covid cases explode - should schools shut early for Christmas?   https://t.co/qSXEuuxY3Y,negatif
niebonomi,my mom wont let me go to school lmfao she says i cant bc im fresh after covid..which is true but im failing my math and physics classes😨😨😨😨,negatif
yeonjunlomllily,juli: meet someone new again but kita lost contact karena gue bosen lol lol lol. and masuk sekolah baru 😋 agustus: i get covid :(  september: kinda happy but i dont really remember  oktober: idk idk idk full of sad n happines.,positif
wow_keren,Prancis Pertama Kali Tembus 100 Ribu Lebih Kasus COVID-19 Sehari Sekolah Tetap Dipaksa Masuk #Internasional  https://t.co/JHJKs1RIQq  https://t.co/CFrNhgdrVO,negatif
beritacovid,#Prancis Pertama Kali Tembus 100 Ribu Lebih Kasus COVID-19 Sehari Sekolah Tetap Dipaksa Masuk - WowKeren Umum #Covid #Covid19  https://t.co/SRl0cEJtWq,negatif
bugurcil,Sejauh ini jg vaksin anak2 sudah masuk di sekolah aku loh. Kamis depan jadwal anak2 vaksin covid-19 di sekolah bareng Puskesmas Purwodadi 1. #BekalBukanKebal  https://t.co/d9sxHX4l3B,positif
123win_,@missufe makji hari ini anaku vaksin covid di sekolah dia ketakutan sakit padahal itu buat syarat masuk ptm thn depan. tolong doakan ya makji @missufe,positif
jjkimthyg,Eh keulang lagiii malah lebih kacaauuuu. Lebih ga masuk akaalll lebih anskakqnskalanzjalla.   Tp y ttp aja w balik nutup diri sampe akhirnyaaa covid dtg truss w yg emang ga pernah mau balik lagi ke sekolah kalo ga penting2 amat dan lo yg juga sibuk turnamen...,negatif
korantempo,ITAGI dan epidemiolog menilai persyaratan untuk vaksinasi anak melanggar prinsip kesetaraan. Posisi anak usia 6-11 tahun rentan karena akan masuk sekolah dan ada ancaman varian baru virus Covid-19. #KoranTempo  https://t.co/HNCwABpD4P,negatif
korantempo,ITAGI dan epidemiolog menilai persyaratan untuk vaksinasi anak melanggar prinsip kesetaraan. Posisi anak usia 6-11 tahun rentan karena akan masuk sekolah dan ada ancaman varian baru virus Covid-19.  https://t.co/mPPWSWIVYj #KoranTempo,negatif
ichalaksmi,Alhamdulillah kaka mau masuk sekolah vaksin covid untuk anak udah adaa..,positif
siti_shaf93,@pedoqpop Sama la...they can't accept the fact  kena tolerate hidup dgn covid. Kena cari solution suruh parents/visitor yg dtg tu buat saliva test on the spot ke. Student kurung tp pensyarah toke jual makanan elok duk keluar masuk. Mcm asrama sekolah 😒,positif
linlikesyou,@ebicaa @schfess I disagree with you kalo alasannya masuk sekolah abis PAS harusnya cuma buat remedial atau lengkapin tugas. Ngapain freeclass? Sama aja kyk ngumpul2 sama temen kan bisa nambah cluster covid. Kalo ada libur kan anak2 bisa di rumah lagipun yg libur anak2 bukannya org dewasa-,negatif
the88stranger,Bukan nak sangka buruk tapi 2 minggu lepas PRN kan?Untuk Covid 2 minggu dikira tempoh masa matang dan penyebaran kalau tak dikawal kan?Mujur la sekolah berasrama keluar masuk dikawal.Kalau sekolah harian?,negatif
wow_keren,Prancis Pertama Kali Tembus 100 Ribu Lebih Kasus COVID-19 Sehari Sekolah Tetap Dipaksa Masuk #Internasional  https://t.co/JHJKs1RIQq  https://t.co/CFrNhgdrVO,negatif
beritacovid,#Prancis Pertama Kali Tembus 100 Ribu Lebih Kasus COVID-19 Sehari Sekolah Tetap Dipaksa Masuk - WowKeren Umum #Covid #Covid19  https://t.co/SRl0cEJtWq,negatif
bugurcil,Sejauh ini jg vaksin anak2 sudah masuk di sekolah aku loh. Kamis depan jadwal anak2 vaksin covid-19 di sekolah bareng Puskesmas Purwodadi 1. #BekalBukanKebal  https://t.co/d9sxHX4l3B,positif
123win_,@missufe makji hari ini anaku vaksin covid di sekolah dia ketakutan sakit padahal itu buat syarat masuk ptm thn depan. tolong doakan ya makji @missufe,positif
wow_keren,Prancis Pertama Kali Tembus 100 Ribu Lebih Kasus COVID-19 Sehari Sekolah Tetap Dipaksa Masuk #Internasional  https://t.co/JHJKs1RIQq  https://t.co/CFrNhgdrVO,negatif
beritacovid,#Prancis Pertama Kali Tembus 100 Ribu Lebih Kasus COVID-19 Sehari Sekolah Tetap Dipaksa Masuk - WowKeren Umum #Covid #Covid19  https://t.co/SRl0cEJtWq,negatif
bugurcil,Sejauh ini jg vaksin anak2 sudah masuk di sekolah aku loh. Kamis depan jadwal anak2 vaksin covid-19 di sekolah bareng Puskesmas Purwodadi 1. #BekalBukanKebal  https://t.co/d9sxHX4l3B,positif
123win_,@missufe makji hari ini anaku vaksin covid di sekolah dia ketakutan sakit padahal itu buat syarat masuk ptm thn depan. tolong doakan ya makji @missufe,positif
jjkimthyg,Eh keulang lagiii malah lebih kacaauuuu. Lebih ga masuk akaalll lebih anskakqnskalanzjalla.   Tp y ttp aja w balik nutup diri sampe akhirnyaaa covid dtg truss w yg emang ga pernah mau balik lagi ke sekolah kalo ga penting2 amat dan lo yg juga sibuk turnamen...,negatif
korantempo,ITAGI dan epidemiolog menilai persyaratan untuk vaksinasi anak melanggar prinsip kesetaraan. Posisi anak usia 6-11 tahun rentan karena akan masuk sekolah dan ada ancaman varian baru virus Covid-19. #KoranTempo  https://t.co/HNCwABpD4P,negatif
korantempo,ITAGI dan epidemiolog menilai persyaratan untuk vaksinasi anak melanggar prinsip kesetaraan. Posisi anak usia 6-11 tahun rentan karena akan masuk sekolah dan ada ancaman varian baru virus Covid-19.  https://t.co/mPPWSWIVYj #KoranTempo,negatif
ichalaksmi,Alhamdulillah kaka mau masuk sekolah vaksin covid untuk anak udah adaa..,positif
stwberrymuffin,@nna_nojaem Done kakk! harapan aku di tahun 2022 aku bisa masuk sma negeri yang aku incar terus covid 19 selesai jadi bisa bebas belajar di sekolah dan keluarga sehat selalu!😊  https://t.co/CB5Czv3fOZ,positif
linlikesyou,@ebicaa @schfess I disagree with you kalo alasannya masuk sekolah abis PAS harusnya cuma buat remedial atau lengkapin tugas. Ngapain freeclass? Sama aja kyk ngumpul2 sama temen kan bisa nambah cluster covid. Kalo ada libur kan anak2 bisa di rumah lagipun yg libur anak2 bukannya org dewasa-,negatif
the88stranger,Bukan nak sangka buruk tapi 2 minggu lepas PRN kan?Untuk Covid 2 minggu dikira tempoh masa matang dan penyebaran kalau tak dikawal kan?Mujur la sekolah berasrama keluar masuk dikawal.Kalau sekolah harian?,negatif
wonhunstrwberry,Bangsat gue mau sekolah offline woy. Emang sengaja banget biar kasus covid naik lagi terus dananya di korupsi,positif
kanitanafiza,Sebelum ketauan ada yg positif covid ga kritik acaranya ko Yg lebih penting ky sekolah offline disini udh judging duluan sbg klaster baru sumber penularan,negatif
fajarwahyu99,Orang tua memiliki peran penting dalam menyukseskan vaksinasi bagi anak usia 6-12 tahun.   Jadi jangan ragu lagi nih bund langsung aja ajak anaknya vaksin covid-19 yuk. Biar kegiatan belajar mengajar offline di sekolah segera terwujud dan bisa aman juga kitanya.  https://t.co/g0YR997Twn,positif
fajarwahyu99,Nah nih lihat sendiri bagaimana bahagianya mereka setelah divaksin Covid 19. Anak-anak SD ini pun juga gak sabar lho main sama teman-temannya di sekolah.  Sekolah offline mereka impikan yuk ajak anak usia 6-11 tahun sekitar kita vaksin biar aman dan nyaman  https://t.co/I00OPVhJX0,positif
alpacayaya,ini covid punya mata mata ya? sekolah sama univ punya rencana offline ehh yg ga varian terbaru penyebaran meluas status daerah yg semakin parah. bisa bisa melemahkan pendidikan indonesia klo online terus,positif
rengginangmekdi,jan: peraturan sekolah ter- gajelas nangis2 pulang swab feb: ga jebol snm jalan2 perpis mar: sekolah kena covid gagal perpis offline apr: utbk bukber perpisahan online  mei: lebaran  jun: hasil utbk jul: ospek  agt: jadi maba septoktnov: osjur praktikum des: staycation,positif
hanjiiquokka,@schfess Full daring gpp si biar lebih aman soalnya sekolah gue kalo offline ga dibagi per sesi dan duduknya masih tetep berduaan trs ga ada tuh yg namanya jaga jarak apa segala macem bahkan gurunya bilang covid itu gak ada. Padahal tmn kls gue udh ada yg kena pas masa PKL 🙂,negatif
katehaes,ga ngerti sama orang yang masih minta sekolah full daring online. gak gue gak peduli sama alasan covid karena itu udah jelas bgt. alasannya cuma perkara males sekolah offline &amp; maunya online biar di rumah apa ga capek jad bego???,positif
kanitanafiza,Sebelum ketauan ada yg positif covid ga kritik acaranya ko Yg lebih penting ky sekolah offline disini udh judging duluan sbg klaster baru sumber penularan,negatif
fajarwahyu99,Orang tua memiliki peran penting dalam menyukseskan vaksinasi bagi anak usia 6-12 tahun.   Jadi jangan ragu lagi nih bund langsung aja ajak anaknya vaksin covid-19 yuk. Biar kegiatan belajar mengajar offline di sekolah segera terwujud dan bisa aman juga kitanya.  https://t.co/g0YR997Twn,positif
fajarwahyu99,Nah nih lihat sendiri bagaimana bahagianya mereka setelah divaksin Covid 19. Anak-anak SD ini pun juga gak sabar lho main sama teman-temannya di sekolah.  Sekolah offline mereka impikan yuk ajak anak usia 6-11 tahun sekitar kita vaksin biar aman dan nyaman  https://t.co/I00OPVhJX0,positif
alpacayaya,ini covid punya mata mata ya? sekolah sama univ punya rencana offline ehh yg ga varian terbaru penyebaran meluas status daerah yg semakin parah. bisa bisa melemahkan pendidikan indonesia klo online terus,positif
rengginangmekdi,jan: peraturan sekolah ter- gajelas nangis2 pulang swab feb: ga jebol snm jalan2 perpis mar: sekolah kena covid gagal perpis offline apr: utbk bukber perpisahan online  mei: lebaran  jun: hasil utbk jul: ospek  agt: jadi maba septoktnov: osjur praktikum des: staycation,positif
dikaalvaro15,@farhatia__ @puanmaharani_ri Ini seriusan di batalin... Wehh akhirnyaa Tapiii harus tetep prokes siii biar selesai taun baru kasus covid gak naik lagi biar nanti yang lebaran gak PPKM lagi sama anak sekolah biar bisa lanjut offline,positif
cucudajal,Mangkanya sekolah kalau bisa full offline terus mau gk covid juga. supaya gada hal kyk gini lgi🙏,positif
slothsacred,KIRAIN CUMAN SKOLAH GW DOANG  smh kita udh di uji 'keren banget bisa sekolah offline semangat yah class of covid' tERUS GA DIKASIH LIBUR,positif
rimbapramana,Sudah saya duga giliran mendekati sekolah/kuliah offline pasti ada varian virus covid baru haha.....,negatif
nirmamarina,"@dra_uk @karniilyasclub oh masih tau arti soudzon?   Kalau saat Pilkada tiba₂ ""ga ada"" Covid acara olah raga diselenggarakan Mall dibuka tapi Sekolah dilarang offline itu gimana? Standard macam apa itu?",negatif
rnnxyzz,@convomf hal yg dikangenin dari sekolah offline sebelum ada covid?,positif
farrelrafandi,@schfess pencegahan covid sekolah gaboleh libur harus tetap sekolah sedangkan sekolahnya offline sama aja bg bukan mencegah itu namanya,negatif
kaedeharia,@convomfs tahun w ngambis banget pas sekolah offline taunya tbtb ada covid anjgggg,negatif
ipb_menfess,Punten wdyt apakah semester depan jadi offline? Karna gua liat beberapa sekolah yg ptm kemarin malah jadi cluster baru covid dan bener banyak yg kena,negatif
dinapratii,Napa si setiap ada berita sekolah dan kuliah akan offline tiba-tiba aja kasus positif covid melonjak lagi???????,negatif
prettybyu,@schfess Sekolahku kebalik bgt bgt bgt...... Di daerahku udh jarang bgt kasus covid udh zona hijau juga tp sekolahku blm offline padahal sekolah lain yg satu daerah udh lama offline,positif
bern_bernat,Sekolah offline cuman sehari seminggu pake masker kursi juga jaga jarak jam nya juga cuman setengah hari tapi digadang menyebabkan cluster covid baru ... tapi kalu di jalan dipasar dikantor ada yang gk pake masker jamnya lama gk jga jarak BIASANYA AJA TUH  OTW PEMBODOHAN,negatif
unmcbu,plis desember gausa ada yg aneh aneh apalagi soal covid. gua jenuh anj pengen sekolah offline,positif
shonedasheep,@vinsmokesanjj IYAA SERU BGTT gara gara covid jd jarang yg buat gt ke sekolah☹️ TP SKRNG DAH MULAI OFFLINE HAHAHA😆,positif
saltoesy,sekolah offline buruan normal kek sebelum covid dong asbzuzbjznzk,positif
ardianpancaa,Kasus harian covid 600an per hari kantor mulai 100% WFO Mall tutup jam 10 malem anak anak udah sekolah offline dan jalanan udah macet.   Jadi Pandemi udah kelar dan berubah jadi endemi? Kereeeen!! Selamat buat semua orang yang berhasil bertahan 2th ini.,positif
addidiidoooo,@IbnuTasrip libur natal-tahun baru aja ditiadakan masak ini mau reunii ntar debat lagi antar agamaa aelahh. Udah lah gausa reuni duluu ntar covid tinggi lagi kasian yang mau pada sekolah/kuliah gajai jadi offline niii,positif
mishabolot,Di sini aja mayoritas masih pada online kuliahnya. Sekolah offline  pun masih setengah hari diselingi online. Gak ada ekskul. Ini bikin acara pelantikan offline gak ada koordinasi ma polisi dan satgas covid (!) --&gt; berarti gak ada koordinasi juga dg tenaga medis. Dah gila.,negatif
pim_pim_paow,@susruby Sekolah anak saya hanya sekolah online 6bulan awal covid.setelah itu offline trus sampai sekarang.alhamdulillah ga ada apa2.,negatif
lifeportofolio,@CNNIndonesia get ready use ur mask properly for covid attack batch 3... ayok bisa biar ga ppkm lagii... gw mau sekolah offline,positif
walokukus,@mattchac @tubirfess Kalo pake masker terus sih gpp ya kalo menurut aing  Tapi plisss dongg sekolah/kuliah ini ayok offline 😭😭🙏 Sedih aku tuh daring muluuk Gegara covid gk selesai² jadi gak offline² anjri,positif
mattchac,@tubirfess gimana mau beradaptasi ya sama ini virus tiap beberapa bulan kayanya ada varian baru terus. Gak berharap bisa lepas masker kaya sebelum COVID tapi berharap banget sekolah/kuliah offline karena gua ngerasanya kaya percuma ini bayar kuliah tapi gak masuk materinya 😭😭😭,positif
himakbmkmunsoed,"[LIVE REPORT SEKOLAH BINAAN 2021]    Sedang berlangsung program kerja Sekolah Binaan secara offline di SDN 1 Kedungbanteng dengan tema ""Lawan Covid dengan Gerakan 6M""  Divisi Pengabdian Masyarakat HIMA KBMKM UNSOED #LenteraJingga  https://t.co/mkyyjnGUHf",positif
cuyapie,@schfess Kalau masih covid gini mendingan online krn walaupun offline tetep aja sampai sekolah juga pakai gmeet lagi😭 TAPI KALAU UDH GA COVID YA OFFLINE DUNGS BELAJARNYA LEBIH CEPET NANGKEP,positif
yourlilymlym,@tubirfess Susah banget sih zaman korona ini dari dulu bocah yang kayak gini memang ada lumayan tapi gak sedrastis sekarang karena dulu anak sd aja belum tentu megang handphone tapi sekarang pada udah megang. Mau sekolah offline tapi ada covid online ada masalah medsos.,negatif
gilng99,Unpopular opinion: tiap ada wacana sekolah/kuliah offline pasti langsung ada kabar kasus covid bertambah banyak 😬,negatif
johnsnicotine,Sekolah kalian ada ldko offline ga si? Aneh bgt sekolah aku ga ada ngomong apa apa ab ldko jadi atau engga. Soalnya kan covid melunjak lagi terus katanya mau ada ppkm lagi,negatif
ridwan0726,@Kota_Tangerang @Itjen_Kemdikbud @DisdikTangkot Bahkan di lingkungan rumah mereka pun juga mengabaikan prokes seakan² sudah bebas dr pandemi Covid-19. Beberapa kali saya ke sekolah (mengantar tugas² anak saya) selalu melihat guru² tanpa masker??? Biar anak saya tidak mengikuti PAS Luring dr pd anak saya terkena Covid-19..,negatif
ridwan0726,@Kota_Tangerang @Itjen_Kemdikbud @DisdikTangkot Dengan melihat situasi dan kondisi saat ini saya dengan (sangat) terpaksa tidak bisa mengizinkan anak saya mengikuti PAS Luring. Karena saya melihat sendiri ketidak-taatan melaksanakan prokes Covid-19. Saat hendak masuk / pulang sekolah siswa/i melepas masker. Bahkan di..,negatif
ridwan0726,Secara pribadi saya siap menerima konsekuensi jika anak saya tidak ikuti PAS Luring (nilai 0 / nol) daripada anak saya terinfeksi Covid-19 (sudah mengisi formulir kesehatan dari puskesmas dimana lokasi sekolah anak saya berada).. 😟😒😞,negatif
evisrirezeki,Sebab Memei udah sekolah luring sebetulnya saya khawatir. Memei kan belum bisa divaksin.   Alhamdulillah setelah baca berita sekarang Ikatan Dokter Anak Indonesia (IDAI) mengeluarkan rekomendasi pembaruan terkait vaksinasi COVID-19 untuk usia 6 tahun ke atas. #VaksinLindungiAnak,positif
kendarinformasi,Untuk mempermantap perkuliahan tatap muka atau luring Sekolah Tinggi Manajemen Informatika dan Komputer (STIMIK) Bina Bangsa menggelar vaksinasi Covid-19 dosis kedua bekerja sama dengan Kepolisian Resor (Polres) Kendari Jumat (15/10/2021).   https://t.co/3wrWOWmoxr,positif
peggiat_bocah,Alhamdulillah sekolah sudah dibuka kemvali walau masih taraf uji coba daring-luring.Separo tatap muka dan separo dengan zoom meeting yang tentu butuh modal fasilitas teknologi yakni laptop dan jaringan WiFi yang kuat. Semoga segera normal.pandemi covid 19 segera berakhir.,positif
bemfkmunmul,[PREVENTIVE NEWS : TIPS TETAP AMAN DARI COVID-19 SELAMA PEMBELAJARAN TATAP MUKA DI KAMPUS/ SEKOLAH]  Jangan lupa tetap terapkan protokol kesehatan saat menjalani perkuliahan luring. Ingat pesan ibu cuci tangan ingat pesan ibu jaga jarak dan ingat pesan ibu pakai masker.  https://t.co/Ni8ERnFGfx,positif
harian_jogja,Antisipasi Naiknya Kasus Covid-19 Sekolah Disarankan Daring &amp; Luring  https://t.co/BpPVHFGhyc #beritajogja #jogja #jogjaistimewa  https://t.co/Qfxgwyes6F,positif
istiwalujanti1,Slmt mlm gaess cm mau numpang ngeluarkan unek2 yahh...banyak siswa guru dan ortu ngeluh PJJ/daring banyak kendala solusinya apa ya PTM/luring. Sekalinya ada kesempatan menyiapkan PTM yahh kok ya muncul klaster sekolah. Mbok ayo sadar prokes covid together. Yg bgn ni aku capek.,negatif
kissfmjember,Menyusul turunnya kasus Covid-19 di Jawa Timur menjadikan Pembelajaran Tatap Muka  (PTM) di sekolahpun akhirnya mulai dijajaki. Bnyk pihak memperkirakan Blended Learning atau sekolah daring yg dikombinasikan dgn luring dan PTM bakal menjadi pola pendidikan nasional di masa depan.  https://t.co/l5Qln2q5yu,positif
notyoursst00pid,@AREAJULID sorry OOT di sekolah gue dikit yg mau ptm karna rumahnya pada jauh trus ptm cm 3 jam blum lagi takut kena covid. Tapi emng anaknya pd rajin jadi mau daring luring masih belajar 🙂,positif
radar_malang,Terdapat 172 ribu pelajar di kabupaten Malang yang masih berisiko terpapar sekaligus menularkan virus Covid-19 jika dipaksakan mengikuti sekolah luring. #PTM #VaksinasiCovid19 #sekolah  https://t.co/7a9UiAoZI2,negatif
curseofacatfish,Semua kembali kacau sekolah terpaksa tidak dapat mewujudkan rencana kegiatan belajar mengajar secara luring nya Perekonomian pun harus terhentak dikarenakan adanya kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) di Indonesia akibat COVID-19.,positif
kabarmalangcom,Vaksinasi Malang Kota Bagi Pelajar Dimulai Sekolah Luring Diwacanakan Vaksinasi Covid-19 untuk pelajar di Kota Malang telah berlangsung sejak kemarin Rabu (5/8) di SMA N 2 Kota Malang   https://t.co/9FUoMV9kmi,positif
