username,tweet,value
muchlis88426192,@iwahyudis Pilkada saja dg segala hiruk pikuk kampanye mulai arak2an ngumpulin masa pesta kemenangan yg semuanya dihelat meriah bak pilkada bukan dimasa pandemi semua bisa terselenggara tanpa ada peluit dr otoritas yg berkepentingan dg redanya pandemi. sk,negatif
makwi12,@geloraco Jangan salahkan rakyatitu imbas dari pilkada yg dipaksakan Pd masa pandemi .....,negatif
nndrae,@drpriono1 @JoeBiden @jokowi Demi nyawa dokter n nakes yg mati sia-sia krn kebijakan awal goyang tik tok trio duta covid ribet mudik vs pulkam buka3-an mall di saat pandemi tetap lanjut pilkada dan anak3 masuk kelas tatap muka. Mohon ampul vaksinnya ganti,negatif
media_maju,@ramzithanos @ambissay Kita tidak tau sampai kapan pandemi ini akan berakhir demokrasi harus tetap berjalan pemerintah sudah melaksanakan pilkada dengan sukses berkat prokes ketat pilkadapun tidak menimbulkan klaster baru.  https://t.co/a6tnkDGqQB,positif
hmmurahmurahhm2,Akibat Suara Jurdil Transparan Para Ahli Pandemi @Juruwabah Dr Pandu Riono dan Dr Tirta di @ILCtv1 Dicuekin Kerumunan Orang' Kampanye dan Pencoblosan Pilkada Serentak Dilindungi Undang2 Tapi Tak KEBAL Covid19 Terus Bertambah SeranganVirus Corona Demokratis,negatif
muhadklyacho,@misasanthrope Lockdown ya solusi buat isolasi lah. Bantu pakai bansos.  Pemerintah regulasi apa? Ngingetin 3M? Yaelah itu mah tugas kakek nenek.   Pemerintah tuh tugasnya kendalikan pandemi. Bukan malah asik promo jalan2 buka akses liburan trus ngotot pi,negatif
vesalhakim,@geloraco Ada yg pengen tetep pilkada spy tkg martabak ngga jadi tukang martabak terusada yg minta pariwisata di dorong di masa pandemi dll... skrg nyalahin rakyat??,negatif
zidan05371884,@berlian_idris @endanghidayat Trus mo salahkan prediden gr2 awal pandemì abei ato kpu krn ngotot gelar pilkada maaf mas mrk itu org2 suci tdk pernah salah,negatif
harun_nugraha,@republikaonline Ikuti MUIjgn d bangkang lagi.seprti pilkada.akibatnya repot semua krn pandemi kian meraja,negatif
muhammadikhtid1,@CNNIndonesia Yg ada dengan memaksakan PILKADA DITENGAH PANDEMI lah yg menyebabkan pandemi semakin meningkat Pemerintahnya aja asal asalan buat kebijakan jd jangan salahkan rakyatnya,negatif
pramukti5,@txtdrcapricorn @_fakhrilh @ArikJez @KompasTV Yang ngotot pilkada ditengah pandemi siapa?!!! Ha?!,negatif
hmmurahmurahhm2,Innalillahi Wainailaihi Roji'un PILKADA MAUT dilindungi Undang-2 Tak Ada Kluster Baru Penularan Covid19 Tak Terbukti. Yg Benar Ahli Pandemi Dokter Pandu Riono Dr Tirta di @ILCtv1 Kerumunan Orang' Sebab Utama Meningkat Drastis Jumlah Penuralaran,negatif
miqbalnov,@lindasusan0 @barcode_project @KompasTV Ekonomi ga kuat tp bikin pilkada d tengah pandemi? Goblok ga tuh. Udah mah ngeluarin biaya ngebikin virus tambah banyak lg. Tp namanya demi ngasih jabatan ke anak dan mantu ya dipaksain terus pilkada soal rakyat mat,negatif
pandukwn,@panditfootball Emang mau dipaksa kayak pilkada gitu? Lagi pandemi gini juga.,negatif
pramukti5,@lindasusan0 @barcode_project @KompasTV Lah pemerintah aja nyalahin rakyat mulu kenapa rakyat dilarang nyalahin pemerintah??? bacot ngomong prokas prokes lagi pandemi disuruh tunda Pilkada malah ngeyel. Hadeh.,negatif
kampusbrandal,@berlian_idris Iya in saja. Kan rakyat yang buat regulasi untuk melegalkan pilkada serentak di tengah pandemi kemarin.  Efek nakhoda nya tolol ABK jadi tolol semua,negatif
kulo_zhargopro,@okezonenews Kalau membiarkan kerumunan pilkada pas pandemi namanya ape yeee?? Pembebasan nak mantu gitu🤣,negatif
studsguy,@ttssaabbiittaa @campusteast @geloraco Kerumunan pilkada ada Batas nya dan ketentuan nya sesuai yg di anjurkan pemerintah..dimana pun juga kl pilkada atau pilres tetep diadakan meskipun lagi pandemi,positif
nugstriamdans,@KompasTV Pas mau pilkada aja angkanya yg positif turun dan saya kira pandemi akan berkurang saat mau pilkada tapi setelah pilkada angka2 yg positif tiba2 naik drastis dan yg disalahkan tetep masyarakatnya..masyrakat butuh cari uang buat makan dan butuh l,negatif
sajatemenmu,@VIVAcoid utng buat pandemi? utamg buat pilkada kaliiiiii,negatif
akiem_west,@republikaonline Ya cukup tinggi karena pilkada di paksakan di tengah pandemi,negatif
wiedprastiya1,@VIVAcoid Knp kemaren ngotot pilkada bukankah itu birahi politik jg yg memaksa di tengah pandemi Siapa yg lg birahi politik,negatif
gantengkampret,@PeriSyantik @CNNIndonesia @mohmahfudmd Jangan bicara korban kalau pilih pilih.Klaster pilkada juga menghasilkan korban.Kalau prioritas yg diutamakansudah sejak awal pandemi oposisi mengingatkan supaya menutup penerbangan dari dan kenegara yg penduduknya ,negatif
puteranusantar3,@do_d_Best @SrikayaNona @LisaAmartatara3 2. Mengapa yg ditjndak hny jkt?adil? Pilkada jalan silahkan sesuai UU pernikahan jg ada UUnya konteksnya bukan uu pemilu atau uu nikah tetapi pelanggaran prokesnya toh selama pandemi semua masih boleh nikah atas da,positif
bk_rijbabar,@humaspoldajbr KERUMUNAN DI MASA PANDEMI COVID-19 TERJADI DI KABUPATEN BANDUNG PROVINSI JAWA BARAT SETELAH BERES PILKADA DIDUAGA PEMBIARAN INTANSI TERKAIT  https://t.co/3buSZSJiOu,negatif
kompasdata,Penanganan pandemi memberikan tantangan tak mudah bagi kepala daerah. Para pemimpin ini harus berupaya agar wilayah mereka tak menjadi kluster baru penularan Covid-19 terutama jika baru saja melaksanakan pilkada. @RanggaEkaSakti1 #LitbangKompas #COVID19  https://t.co/bDgcAgQLTz,positif
kerja_ikhlas,@ay_nopi @ustadtengkuzul Tolol kamu.... Mal-mal dibuka tmpt wisata dibuka pilkada diadakan padahal lagi pandemi gini.,negatif
dima20065343,@Fatwa_Adikusuma Disini handle pandemi ala Indonesia...semua dianggap bisa 'diajak ngobrol' selesai. Masih naik datanya maunya new normal Naik lagi datanya mari laksanakan pilkada Banyak yang kritik dibui karena ujaran kata Karena tangkap orang alasan atu,negatif
asli_kutai,@tempodotco Sekarang baru kita tahu alasannya Pemerintah tdk mau membatalkan/menunda PILKADA walupun ada ancaman meningkatnya pandemi...ini rezim Bangsat Biadab..!!😠,negatif
hidupriego,@ClaraAr71201954 Ga aneh jg ngotot pilkada saat pandemi yg bikin ekonomi lesu. Dana kampanyenya?,negatif
jhoniprima78,@jokowi negeri ini. Ingat tidak?   Hari ini setelah sekian lama penanganan pandemi di negeri ini yang semaunya saja. Kerumunan dibiarkan saja. Pilkada tetap digelar dll dsbgnya sudah tidak nyambung lagi kalian sok panik sok serius. Kita itu sudah kadung. ,negatif
batulangit5,@tempodotco Pantesan... Saat pandemi virus china lagi rame ramenyangeyel minta pilkada tetep di adakan...  INI TOH MAUNYA...  DANA KAMPANYE TANPA BATAS...,negatif
bkns4p4s4p4,@musaKSQ Ngotot pilkada saat pandemi pdhl byk pakar dan tokoh minta ditunda krn bisa memunculkan klaster baru krn itu dia...ya itu dia...gk laen lagi Ya itu dia sebabnya kan ada itu tuh trus itunya ngucur tuh sempatan dah yg ngucur itu di ituin dah seolah,negatif
gigishakit,@MaspiyuO Paham skrg kenapa pilkada harus tetap jalan ditengah pandemi. Mumpung byk proyek yg bs ditilep buat menang calon @PDI_Perjuangan di pilkada #TragediKemanusiaanKM50  #TangkapAnakPakLurah,negatif
keluargaber_,@jokowi Di suasana pandemi ini bansos mengalir untuk dikorupsi demi memuaskan napsu pilkada ?  https://t.co/0FWfFlMFL9,negatif
ghcl12,@SariMita10 Pilkada tu maksa di masa pandemi petugas KPU reaktif juga pula dan kerumunan kampanye juga,negatif
aryantiridwan,@MasBontot6 @koensaputr @anak_mudanyaa @ustadtengkuzul Cangkemmu pandemi. Nyata betol beda perlakuan. Kalau kau punya otak pasti marah sama yg rame2 di Solo pas pilkada bos!!! Di Pekalongan maulidan watimpres. Mana suaramu!!!,negatif
queendria7,@Whoru90408865 @LanangJagad31 @drpriono1 @aniesbaswedan WABAH BARU bicaranya PENGENDALIAN. Buktinya BANYAK NEGARA MAMPU mengendalikan pandemi karena FOKUS KESEHATAN SEJAK AWAL ga kek presidenmu yg SOK MAU MAEN AMAN  BALANCE? LOL tetap resesi pandemi tidak,negatif
cccc0123cccc,@duniamimpigie Nah kan gak mikir kek gitu.... Buktinya dilanjut terus noh.. Pilkada jalan terus di masa pandemi.. Blm lg ada yang usul presiden biar bisa jabat 3x. Banyak yang nyinyirin tuh sekalian aja seumur hidup soalnya keliatan serakah bangettt...,negatif
duniamimpigie,@cccc0123cccc Lah yg kemarin ini buat dukung handai taulannya sendiri buat maju Pilkada??? Mana sisi produktifnya?? Yg dimalingin duit rakyat yg susah di tengah pandemi pula!,negatif
hsthinker,@temponewsroom Udah tau kan knp pilkada ngotot dilaksanakan saat pandemi?,negatif
queendria7,@Whoru90408865 @LanangJagad31 @drpriono1 @aniesbaswedan KETELADANAN itu ALAMI  TURUN dari ATAS pusat aja NAPSU MAKSA PILKADA tanpa bisa MENGENDALIKAN PANDEMI maksa #NewNormalPREMATUR TAKUT PSBB lebih mentingin PERUT kelean gitu kok MIMPI MENDISIPLINKAN wa,negatif
noviantod,@DinadaNayla @FernaRondonuwu @detikcom Pilkada wajib ya? Padahal bisa lo Pemerintah menunda Pilkada dengan dasar Pandemi! Tapi Pemerintah kan ngotot! Padahal oposisi aja tidak ada yang ngotot! Cukup Solo dan Medan saja kalau masih ngotot adakan pilkada da,negatif
clamarchisio8id,@jokowi Macam-macam cara mengisi waktu di rumah selama pandemi. Bekerja membaca berolahraga atau menggeluti aneka hobi baru bersama keluarga.  Terkecuali kalau ada Pilkada datanglah ke TPS.  Selamat berakhir pekan.,positif
anton_thabrani,@babegino1 Pilkada juga berkerumun beresiko pandemi juga kok dibiarkan?,negatif
harun_nugraha,@tempodotco Kritik d bilang ujaran kebencian.kebijakan bapa yg membahayakan masyarakat.menggelar pilkada d tengah pandemi.HRS dipersilahkan pulang,negatif
harun_nugraha,@Fahrihamzah Coba @DPR_RI  punya inisiatifbrtanya kpd pemerintah.sudah tau ada pandemiknp HRS d persilahkan pulangpilkada ttp d gelar.itu semua bibit kerumunan.giliran d demod tangkepin 🤦‍♂️,negatif
topanirfan08,@disneyland2118 @FerdinandHaean3 @Dennysiregar7 @RETHA_Monicaa Pilkada kok pas pandemi.. Kampanye jg pas pandemi.. Preetttlaahhh negara hukum,negatif
dani_dd1897,@AShariefudin @CanBeatUs @Z47EEE @detikcom Sejak kapan demo harus ada izin ? Demo itu yg harus ada itu pemberitahuan akan dilaksanakan aksi pada hari jam dan lokasi. Jangan sok tau Klo ga tau..Btw gimana klo pertanyaan nya saya balik. Udah tau lagi pandem,negatif
bunga01_seroja,@tomi_sup Demo2 d stuasi pandemi yg bermsalah. Jika ad pelanggaran bwtku itu jls pembodohan. Ad fasilitas lain cara berpndapat.   Beda lg dgn Pilkada tp tuk aturan prokesnya sm ad satgas covid n panwas dsana. Klw ad pelanggaran d sanksi diskualifikasi..,positif
kowoey,@rzwings @detikcom Iya. Memang kita bahas covid. Pilkada di masa pandemi covid ini juga gak bener. Inilah kebiasaan kaum ente salah bukannya introspeksi malah nyari kesalahan orang.,negatif
sudastika,"24) ""Scr umum hasil survei Pilkada 9 Desember 2020 menarik partisipasi yg tinggi yaitu sekitar 76% meski dibayangi pandemi."" #PilkadaJurdilTaatProkes @not_kirei @B3doel_ @anakkosaann  https://t.co/NTomdnTPZ6",positif
irvanthamuri,Partisipasi ini lebih tinggi dari pilkada tanpa pandemi 5 tahun lalu yaitu 69%. @kemendagri #PilkadaJurdilTaatProkes,positif
sriharmini12,@LbsMariska Polisi melanggar UU Ada yg bilang UU saat pandemi?  Saya hanya bilang Berlakulah adil Berapa banyak yg melakukan kerumunan dibiarkan? Tangkap yg satu berarti hrs tangkap semua kerumunan Tdk ada yg ditangkap krn kerumunan pilkada Berlakulah adi,negatif
herikitz,@bwd_12 Pawai pilkada juga masih pandemi kenapa kemarin ga di bubarin,negatif
aguspratono3,"@denni_sauya @LILApama2011 ""Di tengah pandemi PILKADA...?? Apa gak mikirrr..??""",negatif
takkdianggap,"@RintoSiswanto2 @Donihendarto @jhsumidi Bukan hanya pilkada wmang rakyatnya aja yg bandel buktinya kemarin udah pada siap"" liburan ke bali padahal lagi pandemi",negatif
by_maharr,@arif2702daulay Kondisi pandemi semua ibadah dan perayaan di atur dan di batasi protokol gak hanya nataru. Idul fitri idul adha pun di batasi kemarin. Gak ada minoritas mayoritas semua sama sama menahan diri.  Mengenai kerumuman pilkada dan yg lain yg bel,negatif
zlfnra,@aidiljapnur @ustadtengkuzul Yg nyuruh ngadain pilkada di masa pandemi siapa? Padahal udah di ingetin oleh ribuan rakyat untuk di tunda tapi masih aja ngotot akhirnya ribuan pegawai TPS tertular covid..,negatif
aidiljapnur,@Bibi_cihuy @ustadtengkuzul Pilkada sudah diatur dalam UU nya dan tetap berusaha menerapkan prokes tapi saya sendiri juga tidak setuju soal pilkada diadakan disaat pandemi begini.,negatif
aden_husna,@ridwankamil Pemimpin yang mana pak? Gara2 maksain pilkada pas pandemi akhirnya banyak yg golput. Udh tau rakyat masih cemas dengan pandemi harusnya nunggu rakyat tenang kan vaksin udh jadi katanya... Dari rakyat utk rakyat bukan maksain pilkada gamikirin,negatif
crizmeliala,@paraNEWnormal Masih waras.. Ngapain ikut pilkada di tengah pandemi,negatif
muzakiahsan,@manis905 Kok bisa ya lgi pandemi gini pilkada ttap jalan. Kok bisa yah laskar fpi di bunuh secara brutal gitu kok bisa udh bunuh fitnah lagi,negatif
alphare4,@manis905 Kok bisa ya lagi pandemi konvoy kampanye pilkada ??? Nalar dipake.,negatif
denni_sauya,Partisipasi masyarakat pada Pilkada 2020 terbilang tinggi meski diselenggarakan di tengah pandemi Covid-19. @jokowi @kemendagri @KSPgoid  https://t.co/Zu1u3e4Aak,positif
ridwan_de22,@manis905 Kok bisa ya lagi pandemi ada pilkada???,negatif
fagtng,Survei SMRC real terbukti.  Walau di tengah pandemi  partisipasi pemilih nyata. Hadir ke TPS dan menggunakan Hak pilihnya.    Pilkada Serentak 2020  Pilkada Terbaik.  Mendidik masyarakat untuk hidup lebih menghargai diri dan taat Prokes.   @kemendagri   https://t.co/gCrwVm9BMM,positif
naddyaa13,Dari hasil survei  menunjukkan tingkat partisipasi di pilkada lalu cukup tinggi meskipun digelar saat pandemi Covid-19. Bahkan partisipasinya lebih tinggi dibanding tahun 2015. @kemendagri   https://t.co/L1r25zvrRE,positif
naddyaa13,Menurut survey beberapa lembaga terbukti penyelenggaraan pilkada sudah sesuai protokol kesehatan.  Ketertiban yg di gambarkan sangat baik fi masa pandemi.  @kemendagri  https://t.co/ivGY6YsWCz,positif
aryprasetyo85,Survei SMRC: Partisipasi Masyarakat di Pilkada 2020 Tinggi meski di Tengah Pandemi  Survei lembaga penelitian SMRC menyatakan partisipasi masyarakat pada Pilkada 2020 terbilang tinggi meski diselenggarakan di tengah pandemi Covid-19. @jokowi @kemendagri  https://t.co/IliEujxA4f,positif
mega0694,@Habibie87871 @VIVAcoid gak boleh juga harusnya gak peduli mau kerumuna apapun itu mau pilkada kek mau aksi mau sekedar nongkrong di cafe juga jangan. pandemi belum selesai garda depan masih berjuang.,negatif
ras_jojo22,@TirtoID Cc @DPR_RI bisa2 legitimasi kemenangan di pilkada dipertanyakan nih makanya jgn maksain pilkada ditengah pandemi 🙃,negatif
noahorwell,@Arnusmine @bally_nugroho @oceanflyer1 @zorro_forv @na_dirs @firdzaradiany Salah karena itu hal yang sudah sewajarnya dilakukan. Apalagi melihat bagaiman penanganan corona yang kacau kebijakan  yang tidak efektif. Contoh promosi pariwisata di awal pandemi,negatif
moodtamaw,@bunyigendang @fazabill taun baru bukan budaya kita budaya kita adalah pilkada di tengah pandemi,negatif
noahorwell,@na_dirs @firdzaradiany Bukannya kesehatan masyarakat itu amanat undang-undang dan hak rakyat gus? Pajak juga dari rakyat. Apresiasi jika memang pemerintah memberikan kebijakan konkrit. Pandemi yang berlarut larut juga imbas kebijakan2 pemerintah pilkada ,negatif
jnnnisa,@Mhmdfkriabd stupid as fvck emang kemaren pas pilkada berasa gaada pandemi aman-aman aja giliran kayak gini heboh bikin peraturan seenak udel   💩💩💩💩💩💩💩💩💩💩,negatif
fake_promised,@MCAOps Bener...di balikpappan gara2 pilkada melonjak naik kasusnya dan minggu depan akan diadakan lg penutupan jalan sprti saat br pandemi...🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,negatif
tunkuadam99,@mazzini_gsp Gak mau pilkada jalan najwa meng kritik anak presiden kampanye mlanggar prokes di masa pandemi tapi dia naik darah dan bilang memprovokasi,negatif
panembahan_alit,@ridwankamil klo boleh jujur keberhasilan atasi covids itu klo kita dr awal tegas dan konsisten bahwa kesehatan yg utama sdh tau pandemi msh maksain pilkada dan ketok omnibus law ketaatan jg hrs logis atuh kang,negatif
freddy_skumbang,@Ahmadfuadie2 @mohmahfudmd beda pilkada sudah direncanakan pilkada diperlukan untuk masa depan bangsa ini anda lihat protokol disaat pilkada? jangan fokus dengan kata kerumunan saja Bung sementara menjemput HRS sepenting apa? bahkan sebenarnya sangat lebi,positif
gengenjus,@merdekadotcom Welah.....ini lah aji mumpung mumpung Pandemi jadi pada takut datang ke TPS ini bener2 lelucon....jadi tahu sekarang mengapa Pilkada dipaksakan harus jalan,negatif
hdsambodo,@TirtoID Lagian pilkada saat pandemi.. Warga pasti milih selamat daripada gunakan hak pilih..,negatif
satriya_hidayat,@zarazettirazr Berarti sebagian besar pemilih mereka adalah Kader2 masing2 partai pendukung dan keluarganya saja. Maka dari itu mreka kukuh jalankan Pilkada di masa pandemi. 😂,negatif
rawii9,@MFahmii21 Pemerintah sukses menyelenggarakan Pilkada Serentak ditengah pandemi Covid-19.,positif
rawii9,@Kekek_12 @kopi_pait78 @_vivin09 @hilwa_ajaa @_4ngel05 @Ulul_fan @Aluh_kciput Apresiasi tinggi untuk pemerintah yang sukses melaksanakan Pilkada Serentak di Tengah Pandemi Covid-19.,positif
bejoabdul4,@gitochin @detikcom Pil apa yg membuat berkumpul diperbolegkan dimassa pandemi pilkada dong..,negatif
bayanrhman,@mohmahfudmd Definis pengacau menurut bapa itu apa?  Orang yang mengizinkan pilkada di tngh pandemi itu yang kacau  Orang yang bilang obat covid nasi kucing itu yang otak nya kacau  Jangan2 definis pengacau menurut bapa adalah mereka yang berbeda pendapat,negatif
hananovi,@TirtoID Baru pandemi gini maksa pilkada. Urgensinya apa. Banyak orang milih ttp di rumah menjauhi kerumunan. Mending biayanya ya buat penanganan corona dulu lah,negatif
caesardcandra,@republikaonline dlm kondisi pandemi jgn hnya faktor selesai dn ada pemenang utk menilai succes pilkada lbh utama faktor tdk ada cluster br covid19 blh dibilang succes..,positif
yohanwahyu76,"Pilkada di tengah pandemi ternyata masih memiliki ""daya tarik"" tersendiri. cc @hsym_asyari @titianggraini @nurhidayatsardi",positif
stormiqi,@CNNIndonesia Alhamdulillah sadar pandemi partisipasi rendah. warga ga perlu lah datang2 buat kerumuman ke TPS cuma buat pilkada,negatif
fahraha_,@collegemenfess Isu strategis yang bisa diambil kayanya gini lagi pandemi kan logikanya gaboleh berkerumun tetapi di pilkada malah banyak kegiatan yang bikin kerumunan seperti masa kampanye dan penyoblosan. CMIIW (GATAU YA KALO POLITIK DINASTI BISA DIBAWA,negatif
v_virsha,@yoeskenawas Para elit butuh rakyat pas pemilihan umum/pilkada dan pil2 yg gak bikin sehat masyarakat lainnya Bang 😑  Apalah kami ini bahkan ditaengah pandemi spt skrg ini kudu bertahan agar ttp waras bansos pun gak dapet ternyata dananya diembat😇  ,negatif
snuffyoffili,@YBRAP Emang beda negara ini uangnya hbis utk pilkada yg seharusnya bisa ditunda dan prioritaskan pada pandemi ini dlu. Lah ini titit njinggg,negatif
dhibramn,"@UyokTweet @mohmahfudmd Awal pandemi goyang ubur²....lagi pandemi maksa pilkada demi HAM (Hak Anak Mantu)...sok² ""pastikan ga ada klaster pilkada""...jebul TELEK mmg lambene",negatif
myconscience9,"mana @mohmahfudmd...msh mau ngoceh tdk ada hubungan pilkada dgn kondisi pandemi?!  sebenarnya mending kl dia diem aja drpd klaim yg engga2. atau ""pilkada hrs dilaksanakan mohon waspada akan kenaikan kasus"".  profesor bidang hukum super pede jd ahli pandemi bikin klaim absurd.",negatif
rafiqi_28,@raviopatra Itu lah gobloknya dia. Padahal kita masa pandemi ini masih ngotot juga ngadain pilkada. Kenapa penyaluran vaksinnya gk se semangat waktu plkada? TNI-Polri dikerahkan sampe menjangkau daerah pelosok.,negatif
kasmir1962,@KompasTV Pernyataan @mohmahfudmd ini punya maksud yg ingin beliau sampaikn bahwa kerumunan pilkada tdk berdampak pada penybran covid 19. Dg demikian kerumunan pd kampanye Gibran di Solo tdk bs di proses secara hukum. Pemrintah dianggap sukses melaksnkan ,positif
trisnatresna,@JSuryoP1 @msaid_didu Gak sia sia pilkada tetap diselenggarakan dimasa pandemi ini 😁,positif
ampunilahkami,@CNNIndonesia @msaid_didu Ayo.. siapa yang berani melaporkan kepolisi tindak PIDANA UU Karantina wilayah kepada pihak yang menyetujui diadakan Pilkada selama Pandemi ini.. karena terbukti menyebabkan cluster Covid-19.,negatif
oau8abbn1xqccdv,@tempodotco SUDAH SAATNYA PILKADA / PEMILU VIA INTERNET(HP) SESUAI TUNTUTAN KONDISI DUNIA KRN PANDEMI.. SETUJU??,negatif
tribrata_rl,Kesuksesan  pilkada ditengah pandemi harus kita pertahankan. Mari selalu terapkan Protokol kesehatan dimanapun dan kapanpun. #PilkadaAmanPatuhiProkes @divisihumaspolri @polda_bengkulu @gmargopo  https://t.co/lpUJqBnpwf,positif
irvan80370078,@effendi____ Kalau pelanggaran prokes di pilkada harusnya presiden yg dipenjara karna tak seharusnya ngadain pilkada ditengah pandemi begini.,negatif
oppositexwp,"@Bams04073580 @CNNIndonesia Banyak rakyat kesusahan dimasa pandemi eh..bansos dikorupsi kurang bullshit apa?  Pilkada hanya ""topeng"" yg berlaku ya ttp dinasti politik.  Rakyat siapa yg dibunuh? Lu masuk goa aja deh...",negatif
hmmurahmurahhm2,KebaL Hukum Miring Sebelah Tapi Tak KEBAL Covid19. ? Kata Juru Wabah Dr Pandu Riono Ahli Pandemi dan Dr Tirta di @ILCtv1  Tetap Sama Bisa Timbulkan Kluster Baru Penularan Virus Covid19 di Pilkada Serentak 2020,negatif
jurikmalam1,Kredit poin ini juga perlu diambil dan disematkan kepada Mendagri beserta jajarannya. Sebab sdh berjibaku melempangkan jalan bagi pelaksanaan penyelenggaraan Pilkada di tengah Pandemi. Salutt (August Melaz Direktur Eksekutif Sindikasi Pemilu) @kemendagri #ProkesPilkadaSukses,positif
gsuryabumi,Junimart mengapresiasi KPU dan masyarakat yang telah berhasil melaksanakan Pilkada Serentak 2020 dengan lancar dan damai. Pencapaian tersebut perlu disyukuri karena berlangsung di tengah situasi pandemi Covid-19. @kemendagri @putrijeni4 @Fatma_Reyna #ProkesPilkadaSukses,positif
m_nur_akbar,@kumparan contoh agar negara lain tidak mengadakan pemilihan disaat pandemi banyak terjadi pelanggaran prokes selama Pilkada,negatif
mfirman45443940,@trihartono828 @PurboAsmoro15 @dodykurniawan99 Padahal ormas Islam sprt NU Muhammadiyah dll meminta kpd pemerintah utk menunda dulu pilkada selama pandemi ini blm berakhir pemerintah harus nya juga bijak dlm hal ini bang...,negatif
iyannn128965,@SiKebongce @mohmahfudmd @karniilyas @KomnasHAM @Yusrilihza_Mhd @prabowo @amnesty @aliansibem_si Kembali topik yg dipertanyakan berkerumun disaat pandemibukan hukum demo pilkadanikahanserta acara2 lainnya knapa tdk ditindak  bisaItukn masing2 cara perjuan,negatif
rinidyah6,@geloraco Pilkada turun ke jalan kenapa tdk diingatkan pandemi...???🤔,negatif
wikawitana,@RahmaNurlela @dr_koko28 Ya betul cuma Rezim Penguasanya yg nolak dialog diskriminasi UU Pilkada dlsb Rezim yg hrsnya punya otoritas Dewa mau dialog slma Pandemi fokus ke Covid ini mlh pidana sana sini gaduh sana sini akibat haus kekuasaan..ya sdh si covi,negatif
